method,dropout,recurant_dropout,loss_weight,MAPE
medians,nan,nan,nan,26.37532518182463
NN,0.0,nan,nan,23.28935405077197
LSTM,0.0,0.0,nan,24.508639115001348
Combined,0.0,0.0,0.0,22.26111569309592
Combined,0.0,0.0,0.26666666666666666,22.160953656016847
Combined,0.0,0.0,0.5333333333333333,22.70662859242162
Combined,0.0,0.0,0.8,23.25072170300533
NN,0.0,nan,nan,22.77170106533477
LSTM,0.0,0.125,nan,24.418020860500327
Combined,0.0,0.125,0.0,22.10096707360199
Combined,0.0,0.125,0.26666666666666666,22.45934193492075
Combined,0.0,0.125,0.5333333333333333,22.07671809647914
Combined,0.0,0.125,0.8,22.325240939936087
NN,0.0,nan,nan,22.690030472355573
LSTM,0.0,0.25,nan,24.509153963232134
Combined,0.0,0.25,0.0,22.2603924283865
Combined,0.0,0.25,0.26666666666666666,22.27266335475459
Combined,0.0,0.25,0.5333333333333333,22.673370927626806
Combined,0.0,0.25,0.8,22.320592266910907
NN,0.0,nan,nan,22.731707220973945
LSTM,0.0,0.375,nan,24.57691331034583
Combined,0.0,0.375,0.0,22.250432657831748
Combined,0.0,0.375,0.26666666666666666,23.011151026552163
Combined,0.0,0.375,0.5333333333333333,23.476636044985796
Combined,0.0,0.375,0.8,22.596709339740748
NN,0.0,nan,nan,22.500406228407154
LSTM,0.0,0.5,nan,24.57027146432278
Combined,0.0,0.5,0.0,22.343867241614877
Combined,0.0,0.5,0.26666666666666666,22.27677653898865
Combined,0.0,0.5,0.5333333333333333,22.579497328730362
Combined,0.0,0.5,0.8,22.452871026082047
NN,0.125,nan,nan,23.390528291035146
LSTM,0.125,0.0,nan,24.364713548070004
Combined,0.125,0.0,0.0,22.92112594011119
Combined,0.125,0.0,0.26666666666666666,22.706477528595922
Combined,0.125,0.0,0.5333333333333333,22.818885775051143
Combined,0.125,0.0,0.8,22.903983185959746
NN,0.125,nan,nan,23.017393803765767
LSTM,0.125,0.125,nan,24.656017429816398
Combined,0.125,0.125,0.0,23.103892879240224
Combined,0.125,0.125,0.26666666666666666,23.39682235437215
Combined,0.125,0.125,0.5333333333333333,22.959481991050822
Combined,0.125,0.125,0.8,22.88609039545785
NN,0.125,nan,nan,23.16237292807096
LSTM,0.125,0.25,nan,24.789092094315713
Combined,0.125,0.25,0.0,23.09591809982893
Combined,0.125,0.25,0.26666666666666666,22.711990703746473
Combined,0.125,0.25,0.5333333333333333,23.102046666921087
Combined,0.125,0.25,0.8,23.05639541095393
NN,0.125,nan,nan,23.498220232926137
LSTM,0.125,0.375,nan,25.038997194842295
Combined,0.125,0.375,0.0,23.480487707472168
Combined,0.125,0.375,0.26666666666666666,22.70400741333635
Combined,0.125,0.375,0.5333333333333333,23.081496143167545
Combined,0.125,0.375,0.8,23.192790521183362
NN,0.125,nan,nan,23.335649409472143
LSTM,0.125,0.5,nan,24.685130364219333
Combined,0.125,0.5,0.0,23.063170604200128
Combined,0.125,0.5,0.26666666666666666,23.22080771971119
Combined,0.125,0.5,0.5333333333333333,22.78258776435288
Combined,0.125,0.5,0.8,23.18938878803659
NN,0.25,nan,nan,23.821185052593968
LSTM,0.25,0.0,nan,25.263040733417267
Combined,0.25,0.0,0.0,23.199748942010583
Combined,0.25,0.0,0.26666666666666666,23.073532443061843
Combined,0.25,0.0,0.5333333333333333,23.4674390816189
Combined,0.25,0.0,0.8,23.171684009900225
NN,0.25,nan,nan,23.933606934211003
LSTM,0.25,0.125,nan,24.580646633927202
Combined,0.25,0.125,0.0,22.82667306677008
Combined,0.25,0.125,0.26666666666666666,23.184475245681693
Combined,0.25,0.125,0.5333333333333333,23.35702970402091
Combined,0.25,0.125,0.8,23.05511808812974
NN,0.25,nan,nan,23.23198841929129
LSTM,0.25,0.25,nan,24.74226707640723
Combined,0.25,0.25,0.0,23.57447040797309
Combined,0.25,0.25,0.26666666666666666,22.841572188109552
Combined,0.25,0.25,0.5333333333333333,23.530582403587907
Combined,0.25,0.25,0.8,23.29626029121511
NN,0.25,nan,nan,23.547634505968272
LSTM,0.25,0.375,nan,24.96685887409461
Combined,0.25,0.375,0.0,23.541081052405154
Combined,0.25,0.375,0.26666666666666666,23.97398618185917
Combined,0.25,0.375,0.5333333333333333,23.202145205015082
Combined,0.25,0.375,0.8,23.547131786557884
NN,0.25,nan,nan,24.0386041628909
LSTM,0.25,0.5,nan,25.024083790172142
