STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
038620,99999, 20190201,   33.6,24,   31.9,24,  986.6, 9,  985.4, 9,   4.6,24,  11.4,24,  17.1,  27.0,   35.6*,  32.0 , 0.10G,  0.4, 011000,
038620,99999, 20190202,   33.7,24,   28.0,24,  999.7, 6,  998.5, 6,   7.2,13,  10.0,24,  15.0, 999.9,   41.0*,  24.8*, 0.20G,999.9, 000000,
038620,99999, 20190203,   35.0,24,   30.8,24, 1021.6, 7, 1020.3, 7,  10.1,18,   4.7,24,  13.0, 999.9,   46.6*,  19.0*, 0.00G,999.9, 110000,
038620,99999, 20190204,   46.1,24,   44.3,24, 1020.2, 7, 1018.9, 7,   5.3,24,   9.7,24,  18.1,  26.0,   50.5*,  37.4*, 0.19G,999.9, 110000,
038620,99999, 20190205,   43.2,24,   43.0,24, 1022.8, 8, 1021.5, 8,   1.9,24,   8.1,24,  15.9, 999.9,   49.1*,  36.0 , 0.20G,999.9, 110000,
038620,99999, 20190206,   49.2,24,   47.5,24, 1017.3, 7, 1016.0, 7,   6.1,24,   7.5,24,  14.0, 999.9,   51.8*,  43.7 , 0.28G,999.9, 110000,
038620,99999, 20190207,   46.7,24,   39.3,24, 1006.3, 8, 1005.1, 8,   8.2,22,  14.9,24,  21.0,  31.1,   50.0*,  42.4*, 0.20G,999.9, 010000,
038620,99999, 20190208,   49.1,24,   46.1,24, 1005.6, 7, 1004.4, 7,   5.3,24,  17.8,24,  24.1,  39.0,   51.8*,  45.9 , 0.08G,999.9, 010000,
038620,99999, 20190209,   47.1,24,   40.5,24,  999.2, 7,  997.9, 7,   7.0,24,  14.8,24,  21.0,  29.9,   51.8*,  44.4 , 0.50G,999.9, 010000,
038620,99999, 20190210,   43.0,24,   38.5,24,  996.4, 7,  995.2, 7,   8.0,20,  10.1,24,  21.0,  35.0,   47.7 ,  38.5*, 0.31G,999.9, 010000,
038620,99999, 20190211,   43.0,24,   35.2,24, 1020.1, 9, 1018.8, 9,  10.3,24,   6.5,24,  14.0, 999.9,   50.0*,  33.1*, 0.02G,999.9, 000000,
038620,99999, 20190212,   40.1,24,   37.8,24, 1033.6, 9, 1032.3, 9,   6.0,24,   3.9,24,  11.1, 999.9,   52.7*,  26.6 , 0.00G,999.9, 100000,
038620,99999, 20190213,   46.5,24,   43.1,24, 1033.4, 9, 1032.1, 9,   6.7,24,   6.0,24,  12.0, 999.9,   51.8*,  36.3*, 0.00G,999.9, 100000,
038620,99999, 20190214,   37.7,24,   34.3,24, 1031.3, 9, 1030.0, 9,   1.2,16,   3.4,24,  11.1, 999.9,   51.8*,  26.6*, 0.00G,999.9, 100000,
038620,99999, 20190215,   39.3,24,   36.4,24, 1027.8, 7, 1026.5, 7,   1.7,18,   3.3,24,   8.9, 999.9,   53.6*,  26.4*, 0.01G,999.9, 110000,
