STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
038620,99999, 20180901,   59.7,24,   54.0,24, 1023.9, 5, 1022.6, 5,   5.2,17,   4.6,24,   9.9, 999.9,   70.5*,  45.0 , 0.00G,999.9, 100000,
038620,99999, 20180902,   60.3,24,   51.0,24, 1025.1, 5, 1023.8, 5,   6.7, 9,   4.1,24,   9.9, 999.9,   71.8*,  46.9 , 0.00G,999.9, 000000,
038620,99999, 20180903,   61.6,24,   53.2,24, 1021.5, 5, 1020.3, 5,   4.8,11,   3.7,24,   8.9, 999.9,   73.4*,  46.2 , 0.00G,999.9, 110000,
038620,99999, 20180904,   62.9,24,   54.3,24, 1020.7, 6, 1019.5, 6,   7.3,14,   6.2,24,  11.1, 999.9,   71.6*,  53.1 , 0.00G,999.9, 000000,
038620,99999, 20180905,   61.5,24,   52.1,24, 1021.7, 5, 1020.5, 5,   5.6,24,   6.9,24,  11.1, 999.9,   71.6*,  52.7 , 0.00G,999.9, 000000,
038620,99999, 20180906,   57.2,24,   51.2,24, 1019.7, 6, 1018.5, 6,   7.6,19,   6.5,24,  12.0, 999.9,   68.0*,  42.8*, 0.00G,999.9, 010000,
038620,99999, 20180907,   55.3,24,   45.8,24, 1016.7, 7, 1015.5, 7,   8.3,21,   5.9,24,  11.1, 999.9,   66.7*,  43.9 , 0.02G,999.9, 000000,
038620,99999, 20180908,   57.0,24,   51.2,24, 1019.3, 5, 1018.1, 5,   7.1,20,   5.5,24,  13.0, 999.9,   66.2*,  43.2 , 0.00G,999.9, 010000,
038620,99999, 20180909,   63.1,24,   56.5,24, 1018.5, 6, 1017.3, 6,   8.0,21,   7.9,24,  14.0, 999.9,   70.3*,  55.0*, 0.00G,999.9, 000000,
038620,99999, 20180910,   61.3,24,   54.7,24, 1021.6, 5, 1020.4, 5,   7.5,21,   8.4,24,  15.0, 999.9,   68.0*,  52.9 , 0.00G,999.9, 000000,
